player,map,category,time,proof,date,tag
"Cue","Candyland","Skipless EGT","16.017","https://www.youtube.com/watch?v=3CTPPtvPG1w","44515",""
"Boostbomb","River of Ice","R6 Skipless","12.9","https://www.youtube.com/watch?v=mdkVpDlq95c","December 12, 2021",""
"Nugglei","River of Ice","R6 Skipless","12.9","https://youtu.be/xBODQhakMvg?si=2gx2p1BGF0-8Cdpc","January 1, 2022",""
"Matnes","River of Ice","R6 Skipless","12.9","","January 2, 2022",""
"1caut","The Orion Disaster","Glitch","15.6","https://streamable.com/6aqd22","January 16, 2022",""
"Vegeta","Heist","Glitch","26","https://streamable.com/6s1uos","January 20, 2022",""
"Nugglei","Ravine","Skipless IGT","15.6","https://youtu.be/vRyRkXQKsE0","January 21, 2022",""
"Skele","Dragons Lair","Skipless IGT","28.4","https://www.youtube.com/watch?v=M9IUp6pgWSs","44584",""
"Gavin","Mystic Alps","R6 Skipless","30.2","https://youtu.be/ltE8Q_EIu8c","January 24, 2022",""
"Nugglei","Swamp","Skipless IGT","24.2","https://youtu.be/cdpSIaAfpnI","January 26, 2022",""
"Chriss","Swamp","Skipless IGT","24.2","https://media.discordapp.net/attachments/585481591074062336/936009130349592596/24.2_WHAT.png?ex=6899b72e&is=689865ae&hm=803cb2dc7067c0ac56d12d581a7e45952d110ccff98992cdb6d6c03525bd9000&=&format=webp&quality=lossless&width=1574&height=856","January 26, 2022",""
"1caut","Disaster Valley","Glitch","13.2","https://www.youtube.com/watch?v=YLn7S0TqSvA","January 28, 2022",""
"Skele","Winter Cove","Skipless IGT","17.7","https://www.youtube.com/watch?v=2micqHTCVlg","44591",""
"Skele","Winter Cove","Skipless EGT","17.733","https://www.youtube.com/watch?v=2micqHTCVlg","44591",""
"Skele","Cavern of Darkness","Skipless IGT","22.5","https://www.youtube.com/watch?v=886fhE1Qwss","44591",""
"Skele","The Emerald Isle","Skipless IGT","19.2","https://www.youtube.com/watch?v=0SajMCUM83Y","44591",""
"Nugglei","Night Terrors","R6 Skipless","19","https://youtu.be/5iZtYDuL4ws","February 5, 2022",""
